Category,Title,Grade,Serial,Status,"Curated Date",Location,"Market Value","Purchase Price","Insurance Value"
Pokémon,"1998 Pokemon Japanese Vending Series 1 Doduo #84 PSA 9 MINT","PSA 9",59792782,Curated,9/19/25,Durham,92,,92
Pokémon,"1999 Pokemon Base Set E3 Stamp Yellow Cheeks Pikachu #58 CGC 8.5 NM-MT+","CGC 8.5",1401035602003,Curated,9/18/25,Durham,89,,89
Pokémon,"1999 Pokemon Base Set Holo Alakazam #1 CGC 8.5 NM-MT+","CGC 8.5",6071131001,Curated,9/18/25,Durham,70,,70
Pokémon,"1999 Pokemon Base Set Holo Hitmonchan #7 PSA 9 MINT","PSA 9",48346495,Curated,9/19/25,Durham,165,,165
Pokémon,"1999 Pokemon Base Set Holo Poliwrath #13 CGC 8.5 NM-MT+","CGC 8.5",6069900010,Curated,9/19/25,Durham,73,,73
Pokémon,"1999 Pokemon Base Set Shadowless 1st Ed Imposter Professor Oak #73 CGC 9 MINT","CGC 9",3747416011,Curated,9/18/25,Durham,89,,89
Pokémon,"1999 Pokemon Base Set Shadowless 1st Edition Beedrill #17 CGC 7.5 NRMT+","CGC 7.5",6072421026,Curated,9/18/25,Durham,278,,278
Pokémon,"1999 Pokemon Base Set Shadowless 1st Edition Computer Search #71 CGC 9 MINT","CGC 9",6072428008,Curated,9/18/25,Durham,149,,149
Pokémon,"1999 Pokemon Base Set Shadowless 1st Edition Dugtrio #19 CGC 8.5 NM-MT+","CGC 8.5",6072421028,Curated,9/18/25,Durham,137,,137
Pokémon,"1999 Pokemon Base Set Shadowless 1st Edition Gray Stamp PlusPower #84 CGC 8.5","CGC 8.5",6072428021,Curated,9/18/25,Durham,90,,90
Pokémon,"1999 Pokemon Base Set Shadowless 1st Edition Impostor Professor Oak #73 PSA 8","PSA 8",55293053,Curated,9/18/25,Durham,79,,79
Pokémon,"1999 Pokemon Base Set Shadowless 1st Edition Lass #75 CGC 8 NM-MT","CGC 8",6072428012,Curated,9/18/25,Durham,86,,86
Pokémon,"1999 Pokemon Base Set Shadowless 1st Edition Onix #56 CGC 8.5 NM-MT+","CGC 8.5",6072428094,Curated,9/19/25,Durham,110,,110
Pokémon,"1999 Pokemon Base Set Shadowless 1st Edition Squirtle #63 CGC 7.5 NRMT+","CGC 7.5",6046924220,Curated,9/18/25,Durham,193,,193
Pokémon,"1999 Pokemon Fossil Holo Dragonite #4 PSA 6 EXMT","PSA 6",86968368,Curated,9/18/25,Durham,63,,63
Pokémon,"1999 Pokemon Japanese CD Promo Holo Blastoise #9 PSA 6 EXMT","PSA 6",117153678,Curated,9/19/25,Durham,166,,166
Pokémon,"1999 Pokemon Japanese CD Promo Holo Charizard #6 PSA 6 EXMT","PSA 6",82581402,Curated,9/19/25,Durham,425,,425
Pokémon,"1999 Pokemon Japanese Center Phone Card Horizontal The Power Of One PSA 10 GEM","PSA 10",85184927,Curated,9/18/25,Durham,105,,105
Pokémon,"1999 Pokemon Japanese Squirtle Deck Holo Blastoise #9 CGC 8.5 NM-MT+","CGC 8.5",6079502007,Curated,9/18/25,Durham,239,,239
Pokémon,"1999 Topps Pokemon TV Diglett #50 PSA 10 GEM MINT","PSA 10",120523193,Curated,9/18/25,Durham,68,,68
Pokémon,"2000 Pokemon Gym Challenge Holo Giovanni's Nidoking #7 CGC 8.5 NM-MT+","CGC 8.5",6073206012,Curated,9/18/25,Durham,109,,109
Pokémon,"2000 Pokemon Gym Challenge Holo Koga #19 CGC 10 GEM MINT","CGC 10",6057537005,Curated,9/18/25,Durham,171,,171
Pokémon,"2000 Pokemon Gym Heroes 1st Edition Holo Brock #15 CGC 9 MINT","CGC 9",6049249016,Curated,9/19/25,Durham,191,,191
Pokémon,"2000 Pokemon Gym Heroes Holo Lt. Surge's Fearow #7 CGC 8 NM-MT","CGC 8",6051488004,Curated,9/19/25,Durham,80,,80
Pokémon,"2000 Pokemon Gym Heroes Holo Rocket's Scyther #13 CGC 8.5 NM-MT+","CGC 8.5",3828228003,Curated,9/18/25,Durham,85,,85
Pokémon,"2000 Pokemon Japanese Meiji Promo Blue Foil Sudowoodo PSA 9 MINT","PSA 9",63066232,Curated,9/18/25,Durham,144,,144
Pokémon,"2000 Pokemon Japanese Meiji Promo Blue Foil Sudowoodo PSA 9 MINT","PSA 9",63066233,Curated,9/19/25,Durham,146,,146
Pokémon,"2000 Pokemon Japanese Meiji Promo Cards Blue Foil Pikachu CGC 8.5 NM-MT+","CGC 8.5",6061763001,Curated,9/18/25,Durham,124,,124
Pokémon,"2000 Pokemon Japanese Meiji Promo Gold Foil Ledyba Rediba PSA 9 MINT","PSA 9",63039210,Curated,9/18/25,Durham,90,,90
Pokémon,"2000 Pokemon Japanese Meiji Promo Silver Foil Miltank PSA 8 NM-MT","PSA 8",64807425,Curated,9/19/25,Durham,96,,96
Pokémon,"2000 Pokemon Japanese Meiji Promo Silver Foil Miltank PSA 8 NM-MT","PSA 8",66382132,Curated,9/19/25,Durham,96,,96
Pokémon,"2000 Pokemon Japanese Neo 2 Holo Houndour #228 CGC 8.5 NM-MT+","CGC 8.5",3868058085,Curated,9/19/25,Durham,71,,71
Pokémon,"2000 Pokemon Neo Genesis Holo Typhlosion #17 CGC 8.5 NM-MT+","CGC 8.5",6068305004,Curated,9/18/25,Durham,199,,199
Pokémon,"2000 Pokemon Team Rocket Dark Charmeleon #32 CGC 10 GEM MINT","CGC 10",6079307002,Curated,9/19/25,Durham,102.5,,102.5
Pokémon,"2001 Pokemon Japanese Darkness And To Light Holo Shining Mewtwo CGC 7 NRMT","CGC 7",6070551068,Curated,9/19/25,Durham,1170,,1170
Pokémon,"2001 Pokemon Japanese Meiji Promo Silver Foil Croconaw PSA 9 MINT","PSA 9",64608933,Curated,9/18/25,Durham,76,,76
Pokémon,"2001 Pokemon Neo Discovery 1st Edition Holo Kabutops #6 PSA 5 EX","PSA 5",48334322,Curated,9/18/25,Durham,105,,105
Pokémon,"2001 Pokemon Neo Discovery 1st Edition Holo Ursaring #15 CGC 8.5 NM-MT+","CGC 8.5",6072425080,Curated,9/18/25,Durham,79,,79
Pokémon,"2001 Pokemon Neo Discovery 1st Edition Holo Yanma #17 CGC 8 NM-MT","CGC 8",6072425082,Curated,9/18/25,Durham,80,,80
Pokémon,"2001 Pokemon Neo Discovery 1st Edition Umbreon #32 CGC 9 MINT","CGC 9",6072425086,Curated,9/19/25,Durham,577,,577
Pokémon,"2001 Pokemon Neo Discovery 1st Edition Unown A #33 PSA 10 GEM MINT","PSA 10",42023976,Curated,9/18/25,Durham,101,,101
Pokémon,"2001 Pokemon Neo Discovery Holo Houndoom #4 CGC 8 NM-MT","CGC 8",6079287006,Curated,9/19/25,Durham,66,,66
Pokémon,"2001 Pokemon Neo Revelation 1st Edition Holo Crobat #4 BGS 8.5 NM-MT+","BGS 8.5",0017607357,Curated,9/19/25,Durham,100,,100
Pokémon,"2002 Pokemon Expedition Blastoise #37 CGC 9 MINT","CGC 9",6072420092,Curated,9/18/25,Durham,166,,166
Pokémon,"2002 Pokemon Expedition Flaaffy #77 PSA 9 MINT","PSA 9",121143232,Curated,9/18/25,Durham,52,,52
Pokémon,"2002 Pokemon Expedition Holo Ampharos #2 CGC 8 NM-MT","CGC 8",6072420057,Curated,9/18/25,Durham,129,,129
Pokémon,"2002 Pokemon Expedition Holo Dragonite #9 CGC 9 MINT","CGC 9",6072420064,Curated,9/19/25,Durham,699,,699
Pokémon,"2002 Pokemon Expedition Holo Golem #14 CGC 9 MINT","CGC 9",4143519022,Curated,9/18/25,Durham,90,,90
Pokémon,"2002 Pokemon Expedition Reverse Holo Ampharos #2 CGC 8 NM-MT","CGC 8",6072428056,Curated,9/19/25,Durham,71,,71
Pokémon,"2002 Pokemon Expedition Reverse Holo Dragonite #43 CGC 9 MINT","CGC 9",6072424069,Curated,9/18/25,Durham,208,,208
Pokémon,"2002 Pokemon Expedition Reverse Holo Feraligatr #46 CGC 9 MINT","CGC 9",6072424072,Curated,9/18/25,Durham,82,,82
Pokémon,"2002 Pokemon Japanese McDonald's Promo Umbreon #25/P PSA 1 PR","PSA 1",79147574,Curated,9/18/25,Durham,153,,153
Pokémon,"2002 Pokemon Legendary Collection Holo Machamp #15 CGC 9 MINT","CGC 9",6072426081,Curated,9/18/25,Durham,84,,84
Pokémon,"2002 Pokemon Legendary Collection Reverse Holo Charizard #3 CGC 9 MINT","CGC 9",6070551005,Curated,9/19/25,Durham,4664,,4664
Pokémon,"2002 Pokemon Legendary Collection Reverse Holo Doduo #71 CGC 7.5 NRMT+","CGC 7.5",6072427028,Curated,9/18/25,Durham,103,,103
Pokémon,"2002 Pokemon Legendary Collection Reverse Holo Electrode #22 CGC 8.5 NM-MT+","CGC 8.5",6072420010,Curated,9/18/25,Durham,133,,133
Pokémon,"2002 Pokemon Legendary Collection Reverse Holo Geodude #77 CGC 9 MINT","CGC 9",6072427034,Curated,9/18/25,Durham,137,,137
Pokémon,"2002 Pokemon Legendary Collection Reverse Holo Graveler #44 CGC 9 MINT","CGC 9",1401036326166,Curated,9/19/25,Durham,104,,104
Pokémon,"2002 Pokemon Legendary Collection Reverse Holo Kakuna #50 CGC 9 MINT","CGC 9",6072425053,Curated,9/18/25,Durham,154,,154
Pokémon,"2002 Pokemon Legendary Collection Reverse Holo Mankey #81 CGC 9 MINT","CGC 9",6072427038,Curated,9/18/25,Durham,129,,129
Pokémon,"2002 Pokemon Legendary Collection Reverse Holo Pidgey #85 CGC 9 MINT","CGC 9",6072427042,Curated,9/18/25,Durham,151,,151
Pokémon,"2002 Pokemon Legendary Collection Reverse Holo Raticate #61 CGC 8.5 NM-MT+","CGC 8.5",6072425064,Curated,9/18/25,Durham,116,,116
Pokémon,"2002 Pokemon Neo Destiny 1st Edition Holo Dark Crobat #2 CGC 9 MINT","CGC 9",6072424005,Curated,9/18/25,Durham,194,,194
Pokémon,"2002 Pokemon Neo Destiny 1st Edition Holo Light Arcanine #12 CGC 9 MINT","CGC 9",6072424014,Curated,9/19/25,Durham,777,,777
Pokémon,"2002 Pokemon Neo Destiny 1st Edition Holo Light Azumarill #13 CGC 8.5 NM-MT+","CGC 8.5",6072424015,Curated,9/18/25,Durham,84,,84
Pokémon,"2003 Pokemon Aquapolis Holo Blissey #H6 CGC 9 MINT","CGC 9",6072425089,Curated,9/18/25,Durham,138,,138
Pokémon,"2003 Pokemon Aquapolis Holo Hypno #H12 PSA 7 NRMT","PSA 7",47725742,Curated,9/18/25,Durham,111,,111
Pokémon,"2003 Pokemon Aquapolis Reverse Holo Fire Cube 01 #122 PSA 10 GEM MINT","PSA 10",41354997,Curated,9/18/25,Durham,171,,171
Pokémon,"2003 Pokemon EX Dragon Holo Kingdra ex #92 CGC 9 MINT","CGC 9",6072420028,Curated,9/18/25,Durham,99,,99
Pokémon,"2003 Pokemon EX Sandstorm Reverse Holo Arcanine #15 CGC 9 MINT","CGC 9",6072420047,Curated,9/19/25,Durham,73,,73
Pokémon,"2003 Pokemon EX Sandstorm Reverse Holo Duskull #61 CGC 10 GEM MINT","CGC 10",6059335022,Curated,9/18/25,Durham,143,,143
Pokémon,"2003 Pokemon Japanese Expansion Pack 1st Ed Holo Mightyena #48 CGC 10 GEM MINT","CGC 10",6002000075,Curated,9/19/25,Durham,106,,106
Pokémon,"2003 Pokemon Japanese Expansion Pack 1st Edition Holo Hitmonchan ex #30 PSA 9","PSA 9",72691948,Curated,9/19/25,Durham,105,,105
Pokémon,"2003 Pokemon Japanese Miracle Of The Desert Holo Lunatone #29 PSA 10 GEM MINT","PSA 10",120647705,Curated,9/19/25,Durham,73,,73
Pokémon,"2003 Pokemon Japanese Movie Commemoration Vs Pack Wish Maker #019 PSA 10 GEM","PSA 10",58077715,Curated,9/18/25,Durham,110,,110
Pokémon,"2003 Pokemon Skyridge Holo Arcanine #H2 CGC 8.5 NM-MT+","CGC 8.5",6072778010,Curated,9/19/25,Durham,713,,713
Pokémon,"2003 Pokemon Skyridge Holo Dewgong #H6 CGC 9 MINT","CGC 9",6072424035,Curated,9/18/25,Durham,200,,200
Pokémon,"2003 Pokemon Skyridge Holo Magneton #H18 CGC 9 MINT","CGC 9",6072424044,Curated,9/18/25,Durham,231,,231
Pokémon,"2003 Pokemon Skyridge Holo Piloswine #H22 CGC 8.5 NM-MT+","CGC 8.5",6072888002,Curated,9/19/25,Durham,157,,157
Pokémon,"2003 Pokemon Skyridge Reverse Holo Raticate #89 PSA 9 MINT","PSA 9",73324638,Curated,9/18/25,Durham,94,,94
Pokémon,"2004 Pokemon EX Hidden Legends Holo Groudon #102 CGC 9 MINT","CGC 9",6079543049,Curated,9/18/25,Durham,76.8,,76.8
Pokémon,"2004 Pokemon EX Hidden Legends Holo Groudon #102 CGC 9.5 MINT+","CGC 9.5",6079543048,Curated,9/18/25,Durham,108,,108
Pokémon,"2004 Pokemon EX Team Magma Vs Team Aqua Squirtle #46 PSA 7 NRMT","PSA 7",116025935,Curated,9/18/25,Durham,168,,168
Pokémon,"2004 Pokemon EX Team Rocket Returns Dark Dragonair #32 CGC 10 GEM MINT","CGC 10",6072426043,Curated,9/18/25,Durham,86,,86
Pokémon,"2004 Pokemon EX Team Rocket Returns Holo Dark Ampharos #2 CGC 9 MINT","CGC 9",6072426012,Curated,9/18/25,Durham,79,,79
Pokémon,"2004 Pokemon EX Team Rocket Returns Holo Dark Steelix #10 CGC 9 MINT","CGC 9",6072426021,Curated,9/18/25,Durham,88,,88
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Cubone #51 CGC 9 MINT","CGC 9",6072427099,Curated,9/18/25,Durham,134,,134
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Dark Arbok #29 CGC 8.5 NM-MT+","CGC 8.5",6072427077,Curated,9/19/25,Durham,72,,72
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Dark Ariados #30 CGC 9.5 MINT+","CGC 9.5",6072427078,Curated,9/19/25,Durham,70,,70
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Dark Dragonair #32 CGC 9 MINT","CGC 9",6072427080,Curated,9/18/25,Durham,208,,208
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Dark Flaaffy #33 CGC 9.5 MINT+","CGC 9.5",6072427081,Curated,9/18/25,Durham,92,,92
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Dark Magneton #39 CGC 9 MINT","CGC 9",6072427087,Curated,9/19/25,Durham,70,,70
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Dark Sandslash #18 CGC 8.5","CGC 8.5",6072427067,Curated,9/18/25,Durham,80,,80
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Dark Steelix #10 CGC 8.5 NM-MT+","CGC 8.5",6074544014,Curated,9/18/25,Durham,133,,133
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Pow! Hand Extension CGC 10 GEM","CGC 10",6072425029,Curated,9/18/25,Durham,106.95,,106.95
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Rattata #71 CGC 9.5 MINT+","CGC 9.5",6072425017,Curated,9/18/25,Durham,110,,110
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Skiploom #49 CGC 10 GEM MINT","CGC 10",6072427097,Curated,9/19/25,Durham,65,,65
Pokémon,"2004 Pokemon EX Team Rocket Returns Reverse Holo Togepi #50 CGC 8 NM-MT","CGC 8",6072427098,Curated,9/19/25,Durham,70,,70
Pokémon,"2004 Pokemon Japanese Battle-e FRLG Red Sub-Set Cool Couple Jos & Anne CGC 10","CGC 10",6054885054,Curated,9/18/25,Durham,150,,150
Pokémon,"2005 Pokemon EX Delta Species Ditto [Charmander] #37 CGC 10 GEM MINT","CGC 10",6077132038,Curated,9/18/25,Durham,220,,220
Pokémon,"2005 Pokemon EX Deoxys Holo Rocket's Raikou ex #108 CGC 8.5 NM-MT+","CGC 8.5",6079543047,Curated,9/18/25,Durham,216,,216
Pokémon,"2005 Pokemon EX Emerald Holo Deoxys #2 CGC 9 MINT","CGC 9",6077132050,Curated,9/18/25,Durham,97,,97
Pokémon,"2005 Pokemon EX Emerald Holo Kyogre #6 CGC 9 MINT","CGC 9",6060206003,Curated,9/18/25,Durham,92,,92
Pokémon,"2005 Pokemon Japanese Holon Research Tower 1st Ed Holo Metagross #40 CGC 9.5 GEM","CGC 9.5",4064273034,Curated,9/18/25,Durham,75,,75
Pokémon,"2005 Pokemon Japanese Movie Vs Pack Aaron's Aura #019 PSA 10 GEM MINT","PSA 10",55505785,Curated,9/19/25,Durham,207,,207
Pokémon,"2006 Pokemon EX Dragon Frontiers Reverse Holo Pinsir #9 CGC 10 GEM MINT","CGC 10",6047118286,Curated,9/18/25,Durham,143,,143
Pokémon,"2006 Pokemon EX Legend Maker Reverse Holo Delcatty #4 CGC 9.5 MINT+","CGC 9.5",6071934004,Curated,9/18/25,Durham,100,,100
Pokémon,"2006 Pokemon EX Legend Maker Reverse Holo Gastly #52 CGC 9 MINT","CGC 9",6069056001,Curated,9/18/25,Durham,121,,121
Pokémon,"2007 Pokemon Diamond & Pearl Mysterious Treasures Countdown Kricketot PSA 9 MINT","PSA 9",45200729,Curated,9/18/25,Durham,219,,219
Pokémon,"2007 Pokemon Japanese 10th Movie Promo Holo Seven Nights Jirachi PSA 10 GEM MINT","PSA 10",120647708,Curated,9/18/25,Durham,100,,100
Pokémon,"2007 Pokemon Japanese DP Promo Fan Club 7,000 Points Holo Palkia #6 CGC 10 GEM","CGC 10",6067120011,Curated,9/19/25,Durham,99,,99
Pokémon,"2008 Pokemon Japanese DP Bonds To The End Of Time 1st Ed Hippowdon LV.X CGC 10","CGC 10",6067120044,Curated,9/18/25,Durham,178,,178
Pokémon,"2008 Pokemon Japanese PPP Promotional Cards 2,000 EXP Points Holo Piplup CGC 10","CGC 10",6018169114,Curated,9/19/25,Durham,65,,65
Pokémon,"2008 Pokemon Japanese PPP Promotional Cards 2,000 EXP Points Holo Piplup CGC 10","CGC 10",6018169110,Curated,9/19/25,Durham,65,,65
Pokémon,"2009 Pokemon Japanese DP Promo Beat Of The Frontier Holo SP Energy #20 PSA 8.5","PSA 8.5",52319650,Curated,9/18/25,Durham,109,,109
Pokémon,"2009 Pokemon Japanese Soulsilver Collection 1st Ed. Reverse Foil Pikachu PSA 9","PSA 9",49389828,Curated,9/18/25,Durham,157,,157
Pokémon,"2011 Pokemon Black & White Noble Victories Staff Holo Karrablast #8 PSA 9 MINT","PSA 9",62398247,Curated,9/18/25,Durham,80,,80
Pokémon,"2011 Pokemon Japanese BW Dark Rush 1st Edition Full Art Raikou EX #71 CGC 9 MINT","CGC 9",6067121070,Curated,9/18/25,Durham,115,,115
Pokémon,"2012 Pokemon BW Next Destinies Test Print Without Text Mewtwo EX CGC 7.5 NRMT+","CGC 7.5",1401040794023,Curated,9/18/25,Durham,221,,221
Pokémon,"2012 Pokemon BW Next Destinies Test Print Without Text Mewtwo EX CGC 7.5 NRMT+","CGC 7.5",1401040794001,Curated,9/18/25,Durham,221,,221
Pokémon,"2012 Pokemon BW Next Destinies Test Print Without Text Mewtwo EX CGC 8 NM-MT","CGC 8",1401040794043,Curated,9/18/25,Durham,274,,274
Pokémon,"2012 Pokemon BW Next Destinies Test Print Without Text Mewtwo EX CGC 8 NM-MT","CGC 8",1401040794030,Curated,9/18/25,Durham,274,,274
Pokémon,"2012 Pokemon BW Next Destinies Test Print Without Text Regigigas EX CGC 8 NM-MT","CGC 8",1401040794077,Curated,9/18/25,Durham,271,,271
Pokémon,"2012 Pokemon Japanese BW Cold Flare 1st Edition SR Celebi EX #060 CGC 9.5 MINT+","CGC 9.5",6067119025,Curated,9/18/25,Durham,154,,154
Pokémon,"2012 Pokemon Japanese BW Dragon Blade 1st Edition Full Art Registeel EX CGC 10","CGC 10",6067119060,Curated,9/18/25,Durham,150,,150
Pokémon,"2012 Pokemon Japanese BW Dragon Blast 1st Edition Holo Mew EX #022 CGC 10 GEM","CGC 10",6067119047,Curated,9/18/25,Durham,171,,171
Pokémon,"2012 Pokemon Japanese BW Dragon Blast 1st Edition Mew EX #22 CGC 10 GEM MINT","CGC 10",6067120016,Curated,9/18/25,Durham,171,,171
Pokémon,"2012 Pokemon Japanese BW Dragon Blast 1st Edition Mew EX #22 CGC 10 GEM MINT","CGC 10",6067120015,Curated,9/18/25,Durham,170,,170
Pokémon,"2012 Pokemon Japanese BW Freeze Bolt Secret Rare Golurk #64 PSA 9 MINT","PSA 9",78731447,Curated,9/18/25,Durham,164,,164
Pokémon,"2012 Pokemon Japanese BW Thunder Knuckle 1st Edition Full Art Tornadus EX CGC 10","CGC 10",6067119022,Curated,9/18/25,Durham,114,,114
Pokémon,"2015 Pokemon Japanese XY Bandit Ring 1st Edition Gyarados #20 CGC 10 PRISTINE","CGC 10",6079542033,Curated,9/18/25,Durham,65,,65
Pokémon,"2015 Pokemon Japanese XY Emerald Break 1st Edition Holo Swellow #58 PSA 10 GEM","PSA 10",121266649,Curated,9/18/25,Durham,82,,82
Pokémon,"2015 Pokemon XY Ancient Origins M Ampharos EX #28 CGC 10 GEM MINT","CGC 10",6072208009,Curated,9/18/25,Durham,144,,144
Pokémon,"2015 Pokemon XY BREAKthrough Full Art M Houndoom EX #154 CGC 8.5 NM-MT+","CGC 8.5",6048609021,Curated,9/18/25,Durham,86.4,,86.4
Pokémon,"2015 Pokemon XY BREAKthrough SR Holo Mewtwo EX #164 CGC 8 NM-MT","CGC 8",6079458004,Curated,9/19/25,Durham,129,,129
Pokémon,"2016 Pokemon XY Breakpoint Holo Emboar EX #14 PSA 10 GEM MINT","PSA 10",48929892,Curated,9/18/25,Durham,162,,162
Pokémon,"2016 Pokemon XY Evolutions Full Art M Blastoise EX #102 CGC 9 MINT","CGC 9",6073220068,Curated,9/19/25,Durham,184,,184
Pokémon,"2016 Pokemon XY Evolutions Reverse Holo Chansey #70 PSA 10 GEM MINT","PSA 10",54281747,Curated,9/18/25,Durham,104.99,,104.99
Pokémon,"2016 Pokemon XY Steam Siege SEC Gardevoir EX #116 CGC 8.5 NM-MT+","CGC 8.5",6079289009,Curated,9/19/25,Durham,161,,161
Pokémon,"2017 Pokemon Japanese Best Of XY Alakazam Spirit Link #132 CGC 10 PRISTINE","CGC 10",6079552054,Curated,9/18/25,Durham,66,,66
Pokémon,"2017 Pokemon Japanese Best Of XY Alakazam Spirit Link #132 CGC 10 PRISTINE","CGC 10",6079542036,Curated,9/18/25,Durham,66,,66
Pokémon,"2017 Pokemon Japanese SM Promo '18 Gym Battle Palace Book #SM-P PSA 9 MINT","PSA 9",65186402,Curated,9/19/25,Durham,119,,119
Pokémon,"2017 Pokemon Japanese SM To Have Seen Battle Rainbow Charizard GX #11 PSA 10 GEM","PSA 10",111253655,Curated,9/18/25,Durham,86,,86
Pokémon,"2017 Pokemon XY Fates Collide Mega Powers Collection Zygarde EX #54a CGC 9 MINT","CGC 9",6061533019,Curated,9/18/25,Durham,116,,116
Pokémon,"2018 Pokemon Japanese SM Promo GX Starter Deck Holo Lugia #237 PSA 10 GEM MINT","PSA 10",121451885,Curated,9/18/25,Durham,71.59,,71.59
Pokémon,"2018 Pokemon Japanese Sun & Moon Promo Gym Battle Winner Palace Book CGC 9 MINT","CGC 9",3814957278,Curated,9/18/25,Durham,100,,100
Pokémon,"2019 Pokemon Cosmic Eclipse Reverse Holo Sylveon #155 CGC 10 GEM MINT","CGC 10",6034417086,Curated,9/18/25,Durham,90,,90
